type,variable,CANID,BusName,Length (bytes),action,Node,caller,logical,physical,task,period (ms)
palcan,tbd,115,Solar,8,receive,DSC4,dsc_board_out_info_read,tbd,vcu,sol_can_all_dsc_out_info_read,50ms
palcan,tbd,131,Solar,8,receive,DSC5,dsc_board_out_info_read,tbd,vcu,sol_can_all_dsc_out_info_read,50ms
palcan,tbd,147,Solar,8,receive,DSC6,dsc_board_out_info_read,tbd,vcu,sol_can_all_dsc_out_info_read,50ms
palcan,tbd,163,Solar,8,receive,DSC7,dsc_board_out_info_read,tbd,vcu,sol_can_all_dsc_out_info_read,50ms
palcan,tbd,179,Solar,8,receive,DSC8,dsc_board_out_info_read,tbd,vcu,sol_can_all_dsc_out_info_read,50ms
palcan,tbd,195,Solar,8,receive,DSC9,dsc_board_out_info_read,tbd,vcu,sol_can_all_dsc_out_info_read,50ms
palcan,tbd,211,Solar,8,receive,DSC10,dsc_board_out_info_read,tbd,vcu,sol_can_all_dsc_out_info_read,50ms
palcan,tbd,227,Solar,8,receive,DSC11,dsc_board_out_info_read,tbd,vcu,sol_can_all_dsc_out_info_read,50ms
palcan,tbd,243,Solar,8,receive,DSC12,dsc_board_out_info_read,tbd,vcu,sol_can_all_dsc_out_info_read,50ms
palcan,tbd,259,Solar,8,receive,DSC13,dsc_board_out_info_read,tbd,vcu,sol_can_all_dsc_out_info_read,50ms
palcan,tbd,275,Solar,8,receive,DSC14,dsc_board_out_info_read,tbd,vcu,sol_can_all_dsc_out_info_read,50ms
palcan,tbd,69,Solar,8,receive,DSC1,dsc_board_state_info_read,tbd,vcu,sol_can_all_dsc_state_info_read,50ms
palcan,tbd,85,Solar,8,receive,DSC2,dsc_board_state_info_read,tbd,vcu,sol_can_all_dsc_state_info_read,50ms
palcan,tbd,101,Solar,8,receive,DSC3,dsc_board_state_info_read,tbd,vcu,sol_can_all_dsc_state_info_read,50ms
palcan,tbd,117,Solar,8,receive,DSC4,dsc_board_state_info_read,tbd,vcu,sol_can_all_dsc_state_info_read,50ms
palcan,tbd,133,Solar,8,receive,DSC5,dsc_board_state_info_read,tbd,vcu,sol_can_all_dsc_state_info_read,50ms
palcan,tbd,149,Solar,8,receive,DSC6,dsc_board_state_info_read,tbd,vcu,sol_can_all_dsc_state_info_read,50ms
palcan,tbd,165,Solar,8,receive,DSC7,dsc_board_state_info_read,tbd,vcu,sol_can_all_dsc_state_info_read,50ms
palcan,tbd,181,Solar,8,receive,DSC8,dsc_board_state_info_read,tbd,vcu,sol_can_all_dsc_state_info_read,50ms
palcan,tbd,197,Solar,8,receive,DSC9,dsc_board_state_info_read,tbd,vcu,sol_can_all_dsc_state_info_read,50ms
palcan,tbd,213,Solar,8,receive,DSC10,dsc_board_state_info_read,tbd,vcu,sol_can_all_dsc_state_info_read,50ms
palcan,tbd,229,Solar,8,receive,DSC11,dsc_board_state_info_read,tbd,vcu,sol_can_all_dsc_state_info_read,50ms
palcan,tbd,245,Solar,8,receive,DSC12,dsc_board_state_info_read,tbd,vcu,sol_can_all_dsc_state_info_read,50ms
palcan,tbd,261,Solar,8,receive,DSC13,dsc_board_state_info_read,tbd,vcu,sol_can_all_dsc_state_info_read,50ms
palcan,tbd,277,Solar,8,receive,DSC14,dsc_board_state_info_read,tbd,vcu,sol_can_all_dsc_state_info_read,50ms
palcan,tbd,"1792,1800,1808,1816,1824,1832,1840,1848,1856",Surround sense,8,receive,Sensor1,can_comm_run,tbd,vcu,dcm_vcu_10ms_task,10ms
palcan,tbd,1793,Surround sense,8,receive,Sensor2,can_comm_run,tbd,vcu,dcm_vcu_10ms_task,10ms
palcan,tbd,1794,Surround sense,8,receive,Sensor3,can_comm_run,tbd,vcu,dcm_vcu_10ms_task,10ms
palcan,tbd,1795,Surround sense,8,receive,Sensor4,can_comm_run,tbd,vcu,dcm_vcu_10ms_task,10ms
palcan,tbd,1796,Surround sense,8,receive,Sensor5,can_comm_run,tbd,vcu,dcm_vcu_10ms_task,10ms
palcan,tbd,1797,Surround sense,8,receive,Sensor6,can_comm_run,tbd,vcu,dcm_vcu_10ms_task,10ms
palcan,tbd,1798,Surround sense,8,receive,Sensor7,can_comm_run,tbd,vcu,dcm_vcu_10ms_task,10ms
